"Date","Time","Bin","Lat","Long","Observer","object","size"
2011-01-28,18991230,"A",41.144171,-71.40092,"JV",3609,1
2011-05-13,18991230,"A",41.144237,-71.024468,"JV",3611,1
2011-12-04,18991230,"B",41.144322,-71.031462,"KW",3613,1
2011-02-17,18991230,"A",41.144512,-71.318844,"KW",3615,1
2011-04-07,18991230,"A",41.144649,-71.765333,"KW",3617,2
2011-03-15,18991230,"A",41.144796,-70.946714,"JV",3620,7
2011-05-13,18991230,"A",41.144845,-71.651283,"JV",3623,2
2011-12-09,18991230,"C",41.144937,-71.732866,"Ellen",3626,1
2011-01-28,18991230,"B",41.145121,-71.776514,"KW",3629,4
2011-03-15,18991230,"B",41.145574,-71.691201,"KW",3640,2
2011-04-19,18991230,"B",41.147,-71.114506,"KW",3664,1
2011-05-31,18991230,"B",41.147326,-71.729435,"KW",3671,1
2011-02-17,18991230,"A",41.147738,-71.689042,"JV",3680,2
2011-03-15,18991230,"B",41.147819,-70.946874,"JV",3682,2
2011-04-19,18991230,"A",41.148455,-71.730644,"KW",3699,2
2011-02-07,18991230,"A",41.148744,-71.359799,"KW",3706,1
2011-02-23,18991230,"A",41.148812,-71.52287,"KW",3708,1
2011-12-04,18991230,"B",41.149223,-71.649764,"Ellen",3715,1
2011-02-23,18991230,"A",41.149369,-71.15376,"KW",3719,1
2011-05-13,18991230,"A",41.14968,-71.523872,"JV",3721,1
2011-05-13,18991230,"A",41.149734,-71.761006,"KW",3725,1
2011-05-02,18991230,"B",41.150191,-71.439235,"JV",3734,4
2011-03-15,18991230,"A",41.15038,-71.691594,"KW",3736,8
2011-03-15,18991230,"A",41.150856,-70.947076,"JV",3743,2
2011-03-15,18991230,"A",41.151338,-71.691755,"JV",3753,1
2011-01-28,18991230,"B",41.151628,-71.651339,"JV",3756,1
2011-02-17,18991230,"B",41.152579,-71.689872,"KW",3770,1
2011-04-07,18991230,"B",41.152628,-71.3999,"JV",3771,1
2011-03-15,18991230,"A",41.15326,-71.692197,"KW",3792,12
2011-03-15,18991230,"B",41.15326,-71.692197,"KW",3793,15
2011-01-28,18991230,"A",41.154256,-71.033012,"KW",3805,2
2011-03-15,18991230,"A",41.155167,-71.692737,"KW",3828,8
2011-05-02,18991230,"A",41.155559,-71.439551,"KW",3834,2
2011-05-13,18991230,"A",41.155707,-71.65167,"JV",3840,3
2011-03-15,18991230,"A",41.156117,-71.692994,"KW",3847,4
2011-12-04,18991230,"B",41.156124,-71.529326,"KW",3848,1
2011-02-07,18991230,"A",41.156617,-71.23727,"KW",3855,1
2011-04-19,18991230,"A",41.157105,-71.731102,"KW",3864,1
2011-03-04,18991230,"A",41.157494,-71.236753,"KW",3871,1
2011-03-15,18991230,"A",41.158031,-71.693467,"KW",3884,2
2011-04-07,18991230,"A",41.1581,-70.9149,"KW",3885,1
2011-01-28,18991230,"B",41.158168,-71.651998,"KW",3886,1
2011-02-17,18991230,"A",41.158883,-70.947,"KW",3896,3
2011-02-17,18991230,"B",41.159424,-71.691283,"KW",3906,1
2011-03-15,18991230,"A",41.159963,-71.693933,"KW",3915,3
2011-03-15,18991230,"B",41.159963,-71.693933,"KW",3916,1
2011-05-02,18991230,"C",41.161034,-71.193915,"JV",3946,1
2011-05-13,18991230,"A",41.161122,-71.65208,"JV",3949,1
2011-11-26,18991230,"A",41.161489,-71.071767,"KW",3953,1
2011-01-28,18991230,"A",41.162233,-71.401518,"KW",3966,1
2011-01-28,18991230,"B",41.16237,-70.902973,"KW",3969,1
2011-04-07,18991230,"A",41.162511,-71.029133,"JV",3972,2
2011-03-15,18991230,"A",41.162914,-71.694419,"KW",3981,2
2011-03-15,18991230,"B",41.163651,-71.320599,"KW",3995,1
2011-12-13,18991230,"B",41.163936,-71.073462,"KW",3998,1
2011-02-23,18991230,"B",41.165619,-71.649569,"KW",4018,1
2011-04-19,18991230,"A",41.16607,-71.481458,"JV",4027,1
2011-02-23,18991230,"B",41.166864,-71.279065,"KW",4054,1
2011-04-19,18991230,"B",41.166882,-71.732046,"JV",4056,2
2011-02-23,18991230,"B",41.167003,-71.404081,"KW",4059,1
2011-11-26,18991230,"A",41.167018,-70.94878,"KW",4060,1
2011-04-19,18991230,"C",41.167835,-71.363364,"JV",4078,1
2011-02-07,18991230,"A",41.168042,-71.239399,"KW",4081,1
2011-01-28,18991230,"A",41.168141,-71.152468,"KW",4085,1
2011-04-19,18991230,"A",41.168356,-71.481817,"JV",4090,5
2011-04-07,18991230,"A",41.168677,-70.916491,"KW",4096,1
2011-03-04,18991230,"B",41.168894,-71.729561,"JV",4100,1
2011-05-02,18991230,"A",41.170706,-71.075047,"KW",4119,1
2011-01-28,18991230,"A",41.171299,-71.652928,"KW",4130,1
2011-01-28,18991230,"A",41.171487,-70.904919,"KW",4132,2
2011-02-23,18991230,"B",41.171694,-71.650698,"KW",4137,1
2011-01-28,18991230,"A",41.171724,-71.403506,"KW",4140,1
2011-03-04,18991230,"B",41.171786,-71.237934,"KW",4144,1
2011-02-07,18991230,"A",41.172045,-71.116793,"KW",4149,1
2011-02-07,18991230,"B",41.172045,-71.116793,"KW",4150,1
2011-02-23,18991230,"B",41.172244,-70.90692,"KW",4158,1
2011-01-28,18991230,"A",41.172385,-71.653025,"JV",4161,2
2011-03-15,18991230,"B",41.172415,-71.321862,"KW",4162,5
2011-02-23,18991230,"A",41.172897,-71.27923,"JV",4168,1
2011-03-15,18991230,"A",41.173305,-70.947103,"KW",4175,1
2011-01-28,18991230,"B",41.173771,-70.905534,"JV",4192,2
2011-12-04,18991230,"A",41.173926,-71.651362,"KW",4193,1
2011-02-23,18991230,"A",41.174727,-71.526674,"JV",4213,1
2011-02-23,18991230,"A",41.175733,-71.65146,"KW",4235,1
2011-04-07,18991230,"A",41.176435,-71.649867,"KW",4248,1
2011-05-13,18991230,"A",41.176459,-70.909378,"JV",4250,1
2011-03-15,18991230,"B",41.176723,-71.322408,"KW",4257,1
2011-01-28,18991230,"A",41.176742,-71.653482,"KW",4258,15
2011-01-28,18991230,"A",41.177197,-70.906285,"KW",4265,3
2011-01-28,18991230,"A",41.177532,-71.530431,"KW",4268,2
2011-04-19,18991230,"A",41.177607,-71.483426,"JV",4269,1
2011-03-15,18991230,"A",41.177624,-71.074171,"KW",4271,1
2011-12-04,18991230,"B",41.177755,-71.531207,"Ellen",4274,1
2011-04-19,18991230,"A",41.177756,-71.733007,"KW",4275,1
2011-04-19,18991230,"A",41.17786,-71.237416,"JV",4276,1
2011-05-13,18991230,"A",41.177867,-71.165253,"KW",4277,1
2011-01-28,18991230,"B",41.178042,-71.27746,"JV",4279,1
2011-02-23,18991230,"A",41.178236,-71.777412,"JV",4281,1
2011-01-28,18991230,"A",41.178342,-70.906491,"JV",4283,1
2011-04-19,18991230,"A",41.178839,-71.733123,"JV",4288,1
2011-01-28,18991230,"A",41.178938,-71.653755,"JV",4290,2
2011-01-28,18991230,"B",41.179201,-71.277453,"KW",4297,1
2011-02-23,18991230,"A",41.179512,-71.404865,"JV",4312,1
2011-02-23,18991230,"A",41.179785,-71.6522,"KW",4313,2
2011-02-23,18991230,"A",41.180052,-71.527502,"KW",4323,2
2011-12-04,18991230,"A",41.180252,-71.156241,"Ellen",4330,2
2011-04-07,18991230,"A",41.180346,-71.649912,"KW",4333,4
2011-03-15,18991230,"A",41.180459,-70.947101,"KW",4334,1
2011-02-23,18991230,"A",41.180547,-71.404882,"KW",4338,1
2011-03-15,18991230,"A",41.181105,-71.3228,"JV",4351,1
2011-01-28,18991230,"A",41.181165,-71.654019,"KW",4353,1
2011-02-23,18991230,"A",41.181891,-71.279863,"JV",4361,1
2011-11-26,18991230,"B",41.182259,-71.072615,"JV",4367,1
2011-12-13,18991230,"A",41.183446,-71.446343,"Ellen",4383,1
2011-02-23,18991230,"A",41.183809,-71.652793,"KW",4386,1
2011-02-23,18991230,"B",41.183809,-71.652793,"KW",4387,2
2011-05-13,18991230,"A",41.18405,-71.654708,"JV",4391,2
2011-12-09,18991230,"A",41.184442,-71.735959,"KW",4400,1
2011-05-13,18991230,"B",41.185138,-71.65481,"KW",4416,2
2011-04-19,18991230,"A",41.18527,-71.73383,"KW",4420,1
2011-05-02,18991230,"A",41.185365,-71.196366,"KW",4422,1
2011-02-23,18991230,"A",41.18574,-71.40488,"KW",4431,2
2011-05-13,18991230,"A",41.186386,-71.765092,"KW",4440,1
2011-01-28,18991230,"B",41.186768,-71.654619,"JV",4444,3
2011-12-13,18991230,"A",41.187068,-71.446453,"Ellen",4450,1
2011-01-28,18991230,"A",41.187355,-71.533841,"KW",4454,1
2011-04-07,18991230,"A",41.188612,-70.918304,"KW",4473,8
2011-03-04,18991230,"A",41.18872,-71.239925,"KW",4477,2
2011-11-06,18991230,"A",41.188919,-71.735981,"KW",4480,1
2011-01-28,18991230,"A",41.189312,-71.278689,"KW",4484,1
2011-01-28,18991230,"B",41.190129,-71.655092,"KW",4497,2
2011-05-13,18991230,"A",41.191659,-71.765459,"JV",4512,1
2011-09-21,18991230,"A",41.19181,-71.694695,"KW",4517,1
2011-02-23,18991230,"B",41.192577,-70.908034,"KW",4534,1
2011-02-17,18991230,"A",41.192731,-71.692414,"KW",4536,1
2011-02-23,18991230,"A",41.193043,-71.777922,"KW",4541,1
2011-01-28,18991230,"B",41.193493,-71.655585,"JV",4548,1
